	Unnamed: 0	round	batch	sent_id	sentence	worker_0	worker_1	worker_2	worker_3	worker_4	worker_5	worker_6	worker_7	disagree	agree	neutral	guid	in_held_out_test	stance	stance_id
23	23	1	0	t25	Doing so will be central for getting global warming under control.	neutral	agrees	agrees	neutral	agrees	agrees	agrees	neutral	0.0030861805264383	0.7454617536568253	0.2514520658167363	1_0_t25	False	agree	2
24	24	1	0	t26	Global sea-level rise is both undeniable and consequential.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0007200413568176	0.9982420058765812	0.001037952766601	1_0_t26	False	agree	2
26	26	1	0	t28	Carbon dioxide will hit another record high in 201.	neutral	agrees	neutral	neutral	neutral	neutral	agrees	agrees	0.0033176383469177	0.3115886257147842	0.6850937359382979	1_0_t28	False	neutral	1
27	27	1	0	t29	You now have a global marketplace for clean energy that is stable and accelerating.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0007786820991051	0.0011444081770496	0.9980769097238452	1_0_t29	False	neutral	1
28	28	1	0	t3	Fighting global warming, the stated purpose of AB32, is a loser with California voters.	disagrees	neutral	neutral	neutral	neutral	disagrees	neutral	neutral	0.1027448510482786	0.0037322952801503	0.8935228536715711	1_0_t3	False	neutral	1
29	29	1	0	t4	Four in ten Americans (40%) have personally experienced the effects of global warming.	neutral	agrees	neutral	neutral	neutral	agrees	neutral	neutral	0.0026193711417882	0.1190477933417234	0.8783328355164881	1_0_t4	False	neutral	1
30	30	1	0	t5	Fossil fuels will be used for the foreseeable future.	neutral	neutral	neutral	neutral	neutral	neutral	disagrees	neutral	0.0369044113982233	0.0028931662764624	0.9602024223253142	1_0_t5	False	neutral	1
33	33	1	0	t8	The global warming crowd can’t get any crazier.	disagrees	disagrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	0.976679668775352	0.0024198593722878	0.0209004718523601	1_0_t8	False	disagree	0
34	34	1	0	t9	Global warming is mainly caused by human activity.	agrees	agrees	agrees	agrees	neutral	agrees	agrees	neutral	0.0025484994839782	0.8639366695524816	0.1335148309635399	1_0_t9	False	agree	2
40	40	1	1	t0	Across the entire Arctic, forests are burning at a rate unseen in at least 10,000 years.	agrees	neutral	agrees	agrees	neutral	neutral	neutral	agrees	0.003266759886861	0.4076832684212108	0.5890499716919282	1_1_t0	False	neutral	1
41	41	1	1	t1	Tackling climate change will be the greatest global health opportunity of the 21st century .	agrees	agrees	agrees	agrees	agrees	neutral	agrees	agrees	0.0012291233463648	0.992295097009261	0.0064757796443741	1_1_t1	False	agree	2
42	42	1	1	t10	Putting a price on carbon dioxide emissions would be central for getting global warming under control.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0007715970906517	0.9980212159551918	0.0012071869541565	1_1_t10	False	agree	2
43	43	1	1	t11	Humans are causing global warming.	agrees	agrees	agrees	agrees	neutral	agrees	agrees	agrees	0.0022384407165717	0.9454035205578876	0.0523580387255407	1_1_t11	False	agree	2
44	44	1	1	t12	There’s no sign of global warming hurting productivity yet.	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	disagrees	0.9643325012734868	0.0019833523593172	0.0336841463671959	1_1_t12	False	disagree	0
45	45	1	1	t13	The net effect will be a general and global warming of the earth.	agrees	agrees	agrees	agrees	agrees	neutral	neutral	agrees	0.0026440220980772	0.8886470522706695	0.1087089256312532	1_1_t13	False	agree	2
47	47	1	1	t15	The West Antarctic Ice Sheet is going to go unstable.	agrees	agrees	neutral	neutral	agrees	neutral	neutral	agrees	0.0034456401568254	0.5414037597892405	0.4551506000539341	1_1_t15	False	agree	2
48	48	1	1	t16	The West Antarctic ice sheet could disappear in as little as 1,000 years.	agrees	neutral	agrees	neutral	agrees	neutral	agrees	neutral	0.0033137260439559	0.4595438369667025	0.5371424369893415	1_1_t16	False	neutral	1
49	49	1	1	t17	The data isn’t lining up with the Church of Global Warming.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9981654167222708	0.0008019248539623	0.0010326584237667	1_1_t17	False	disagree	0
50	50	1	1	t18	A modest carbon tax could pay for all of this work at a fraction the cost of a cap on emissions of greenhouse gases, the approach pursued by Europe under the Kyoto Protocol (and rejected in the United States).	agrees	neutral	agrees	agrees	neutral	agrees	neutral	neutral	0.0029868903457536	0.2379070491626414	0.759106060491605	1_1_t18	False	neutral	1
52	52	1	1	t2	The world is in the midst of only the third global coral bleaching event ever recorded.	disagrees	neutral	neutral	neutral	agrees	neutral	neutral	agrees	0.0278317624376946	0.19101319751939	0.7811550400429155	1_1_t2	False	neutral	1
53	53	1	1	t20	The level of carbon dioxide in the atmosphere has never been higher.	agrees	neutral	agrees	agrees	neutral	neutral	agrees	agrees	0.0034027788211258	0.6828744531196944	0.3137227680591796	1_1_t20	False	agree	2
54	54	1	1	t21	The earth’s cattle population actually produces more carbon dioxide than automobiles, planes, and all other forms of transport combined.	agrees	neutral	disagrees	neutral	neutral	disagrees	neutral	neutral	0.0515138214170903	0.0175765913769914	0.9309095872059182	1_1_t21	False	neutral	1
55	55	1	1	t22	There would n’t be much need for emission limits, cap and trade or carbon taxes.	disagrees	neutral	neutral	disagrees	neutral	disagrees	neutral	neutral	0.1185072473026293	0.0023622452268764	0.8791305074704943	1_1_t22	False	neutral	1
56	56	1	1	t23	Climate alarmists’ve got it wrong on global warming.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9981369381655548	0.0008071176430833	0.0010559441913616	1_1_t23	False	disagree	0
57	57	1	1	t24	For-profit carbon project developers work with landowners to qualify large forests for credits.	agrees	neutral	agrees	neutral	neutral	agrees	neutral	neutral	0.002221346893924	0.0924031986474769	0.9053754544585992	1_1_t24	False	neutral	1
58	58	1	1	t25	By now there should have been global warming equivalent to 2.8 degrees / century.	disagrees	disagrees	agrees	disagrees	neutral	neutral	neutral	disagrees	0.6131910194449077	0.039498486493238	0.3473104940618543	1_1_t25	False	disagree	0
59	59	1	1	t26	Climate change models predict a 15 year period of global cooling.	agrees	neutral	neutral	disagrees	neutral	neutral	neutral	agrees	0.0471716726509694	0.1243877704437837	0.8284405569052469	1_1_t26	False	neutral	1
60	60	1	1	t27	Data on how sea levels are rising, relied upon by the United Nations, is adjusted upward in “ arbitrary ” ways.	neutral	disagrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	0.9610785858859336	0.0020795731433167	0.0368418409707496	1_1_t27	False	disagree	0
61	61	1	1	t28	At that time, the scientific community had just launched the first satellites that provided images of the sea-ice cover from space.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.000461794360955	0.0005118720625118	0.9990263335765328	1_1_t28	False	neutral	1
63	63	1	1	t3	The increase in extreme flood likelihood will occur prior to reaching 73-percent urbanization because of changes in climate.	agrees	agrees	agrees	agrees	agrees	neutral	agrees	agrees	0.0013009040571148	0.9919201125828568	0.0067789833600284	1_1_t3	False	agree	2
64	64	1	1	t4	The study used real-world data to show what actually happened during floods, instead of relying on a model of what “should” happen.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.000452699927933	0.0005087515417653	0.9990385485303016	1_1_t4	False	neutral	1
65	65	1	1	t5	Global warming is occurring more slowly than computer models forecast a decade ago.	disagrees	disagrees	neutral	disagrees	neutral	disagrees	disagrees	neutral	0.6178623188610435	0.0033450737575051	0.3787926073814513	1_1_t5	False	disagree	0
66	66	1	1	t6	It is thought that the hazardous waste would stay buried and frozen forever beneath the Greenland Ice Sheet, but climate change is warming the Arctic and causing portions of the ice sheet to melt.	agrees	agrees	agrees	agrees	agrees	neutral	agrees	agrees	0.0013054800991876	0.9918999973292156	0.0067945225715965	1_1_t6	False	agree	2
67	67	1	1	t7	Human emissions of greenhouse gases are causing global warming.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0007670871546221	0.9980729892665264	0.0011599235788514	1_1_t7	False	agree	2
68	68	1	1	t8	The impacts of long-term global warming are already being felt in coastal flooding, heat waves, intense precipitation and ecosystem change.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.00079269732272	0.9980275555748463	0.0011797471024334	1_1_t8	False	agree	2
69	69	1	1	t9	The value of a global push to limit the human contribution to warming exceeds the economic value of abundant fossil energy.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	neutral	0.0598081147010686	0.6279443066650481	0.3122475786338833	1_1_t9	False	agree	2
76	76	1	2	t1	Hopefully, now that scientists are aware of this discrepancy this discrepancy, this discrepancy can be addressed in future models of disappearing ice.	neutral	agrees	neutral	agrees	neutral	agrees	neutral	neutral	0.00379024658158	0.1413747369930409	0.8548350164253791	1_2_t1	False	neutral	1
77	77	1	2	t10	A clear switch away from fossil fuels is now on the cards.	neutral	neutral	agrees	agrees	neutral	neutral	neutral	neutral	0.0026834805892495	0.0376628415505745	0.959653677860176	1_2_t10	False	neutral	1
78	78	1	2	t11	Human-caused global warming threatens to undermine the past 50 years of gains in public health.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0006090952273415	0.9989791913934812	0.0004117133791771	1_2_t11	False	agree	2
79	79	1	2	t12	The science of anthropogenic global warming is settled.	neutral	neutral	agrees	neutral	neutral	neutral	neutral	neutral	0.0023367156744911	0.0279432911361575	0.9697199931893512	1_2_t12	False	neutral	1
80	80	1	2	t13	This work bolsters the view of scientists who’ve been calling for a conservation strategy for polar bears and other ice-dependent species focused on areas of the Arctic where sea ice is projected to endure well into this greenhouse-heated era.	neutral	neutral	agrees	agrees	neutral	agrees	agrees	neutral	0.0046855615588694	0.4769434271292356	0.5183710113118949	1_2_t13	False	neutral	1
81	81	1	2	t14	In the very act of inventing tools to improve the environment, we will come closer to understanding our place on the planet, as well as in a global society of creatures like ourselves.	neutral	neutral	agrees	neutral	neutral	agrees	neutral	neutral	0.0039582318615907	0.1608811717038171	0.8351605964345922	1_2_t14	False	neutral	1
82	82	1	2	t15	Since 1978, the winter Arctic ice cap has shrunk by 12 percent per decade.	agrees	neutral	agrees	neutral	agrees	neutral	neutral	neutral	0.004749077428469	0.4853698158183292	0.509881106753202	1_2_t15	False	neutral	1
83	83	1	2	t16	Climate change has the potential to set back global health.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0006369258756478	0.9989538283361066	0.0004092457882455	1_2_t16	False	agree	2
84	84	1	2	t17	They are too pessimistic about the chances of limiting global warming.	neutral	agrees	neutral	agrees	agrees	agrees	agrees	neutral	0.0044528780996414	0.7120077223253239	0.2835393995750347	1_2_t17	False	agree	2
85	85	1	2	t18	Global temperature increases have been far, far less than doomsday computer models predicted – about three times smaller.	disagrees	neutral	disagrees	neutral	disagrees	disagrees	disagrees	disagrees	0.9913970856756336	0.0013719494562039	0.0072309648681623	1_2_t18	False	disagree	0
86	86	1	2	t19	Global warming may be occurring more slowly than earlier thought, and that previous climate models may have been on the hot side.	disagrees	neutral	neutral	agrees	disagrees	disagrees	disagrees	neutral	0.8697470514691804	0.0057532213141733	0.1244997272166463	1_2_t19	False	disagree	0
87	87	1	2	t2	Recent global warming is not only manmade but dangerous.	agrees	agrees	agrees	neutral	agrees	agrees	agrees	agrees	0.0007972649192681	0.9983192702317648	0.000883464848967	1_2_t2	False	agree	2
88	88	1	2	t20	Global sea levels have risen approximately 8 inches over the past century, with sea-level rises getting higher in some parts of the globe.	neutral	neutral	neutral	agrees	neutral	neutral	agrees	neutral	0.0031552689359308	0.0752894809242428	0.9215552501398264	1_2_t20	False	neutral	1
89	89	1	2	t21	This agreement sends a powerful signal that the world is fully committed to a low-carbon future.	neutral	neutral	neutral	agrees	neutral	agrees	agrees	neutral	0.0043623503432194	0.2641714891036407	0.7314661605531398	1_2_t21	False	neutral	1
90	90	1	2	t22	People do not focus as much on 2 degrees energy increases in temperatures or increases in sea levels rising.	neutral	neutral	disagrees	agrees	neutral	disagrees	neutral	neutral	0.1955678213140698	0.007385781649472	0.7970463970364582	1_2_t22	False	neutral	1
91	91	1	2	t23	Global warming is really such a big deal.	agrees	agrees	agrees	neutral	agrees	agrees	agrees	agrees	0.0007829635708597	0.9983543673881125	0.0008626690410278	1_2_t23	False	agree	2
92	92	1	2	t24	China had released about 900 million metric tons more carbon dioxide from 2011 to 201.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0009403624989082	0.0010847789033395	0.9979748585977524	1_2_t24	False	neutral	1
93	93	1	2	t25	Rapid warming in the Arctic could upset these deposits, melting them and freeing the gas.	agrees	neutral	agrees	agrees	agrees	neutral	agrees	neutral	0.0041016830402863	0.8150056397423273	0.1808926772173863	1_2_t25	False	agree	2
94	94	1	2	t26	Fossil fuel emissions hit an all-time high in 2017 as carbon dioxide emissions surged for the first time in three years.	neutral	neutral	neutral	neutral	agrees	neutral	neutral	neutral	0.0028523867387071	0.0537559635087335	0.9433916497525594	1_2_t26	False	neutral	1
95	95	1	2	t27	Global warming will harm Americans.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0006254757920059	0.998952880418062	0.000421643789932	1_2_t27	False	agree	2
96	96	1	2	t28	Reducing carbon will slow the global warming that is attributed to greenhouse gases.	agrees	neutral	agrees	disagrees	neutral	agrees	agrees	neutral	0.0078606875921522	0.7819688712937195	0.2101704411141281	1_2_t28	False	agree	2
97	97	1	2	t29	Human activity has increased carbon dioxide emissions and affected the climate.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	neutral	0.0049439495640134	0.9559328089461384	0.0391232414898483	1_2_t29	False	agree	2
99	99	1	2	t4	Terrestrial ecosystems play a significant role in the global carbon cycle and offset a large fraction of anthropogenic CO2 emissions.	neutral	neutral	disagrees	neutral	agrees	agrees	neutral	neutral	0.0692710167063194	0.282843482145291	0.6478855011483895	1_2_t4	False	neutral	1
100	100	1	2	t5	Carbon pollution is like putting the Earth on an escalator of rising temperatures, with natural variation such as El Nino or the cooling effect of volcanoes like hopping up or down a step or two on that escalator.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	neutral	0.0015405549618925	0.9905866699987148	0.0078727750393924	1_2_t5	False	agree	2
101	101	1	2	t6	Global warming will never hurt anyone.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9991408179176308	0.000549699399339	0.0003094826830302	1_2_t6	False	disagree	0
102	102	1	2	t7	Arctic plant species are extremely responsive to fairly rapid climate shifts in the past.	disagrees	neutral	neutral	agrees	neutral	neutral	neutral	neutral	0.0826669370364674	0.0059426205966601	0.9113904423668726	1_2_t7	False	neutral	1
103	103	1	2	t8	If human-driven climate change continues on the present course, the ice covering the site could begin to melt in about 75 years.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	neutral	0.0049487437250232	0.9555954982520096	0.0394557580229672	1_2_t8	False	agree	2
104	104	1	2	t9	The theory that carbon dioxide is a pollutant has not been substantiated scientifically.	disagrees	neutral	disagrees	agrees	disagrees	disagrees	disagrees	disagrees	0.9923040207332254	0.0024213156901866	0.0052746635765879	1_2_t9	False	disagree	0
111	111	1	3	t1	Most global warming is natural and even if there had been no Industrial Revolution current global temperatures would be almost exactly the same as they are now.	agrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	0.9604544749055062	0.0315101275575661	0.0080353975369277	1_3_t1	False	disagree	0
113	113	1	3	t11	The winter conditions either debunked or supported the picture of human-driven global warming.	neutral	neutral	disagrees	neutral	disagrees	neutral	neutral	neutral	0.0945011183986977	0.0033353757895829	0.9021635058117192	1_3_t11	False	neutral	1
114	114	1	3	t12	As global temperatures warm, all of NASA’ll be looking at a very different planet.	agrees	neutral	agrees	agrees	neutral	agrees	agrees	agrees	0.0021124209590348	0.9689433000866006	0.0289442789543646	1_3_t12	False	agree	2
115	115	1	3	t13	Scientists had manipulated data to hide the decline in global temperatures.	disagrees	neutral	disagrees	disagrees	neutral	disagrees	disagrees	neutral	0.8825892419938292	0.003048195837185	0.114362562168986	1_3_t13	False	disagree	0
116	116	1	3	t14	Damage to Great Barrier Reef From Global Warming Is Irreversible.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0006721871357947	0.9987142832144748	0.0006135296497306	1_3_t14	False	agree	2
117	117	1	3	t15	More than half think global warming will never hurt anyone.	disagrees	neutral	neutral	neutral	agrees	neutral	neutral	neutral	0.0456126467636253	0.0146458573432958	0.9397414958930788	1_3_t15	False	neutral	1
118	118	1	3	t16	The researchers plan to test additional sites and examine how carbon dioxide levels changed through the glacial cycle.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0008637410679026	0.0009772302922815	0.9981590286398158	1_3_t16	False	neutral	1
119	119	1	3	t17	Ice volume is a better measure than ice area.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0008495998814012	0.0010114378226984	0.9981389622959002	1_3_t17	False	neutral	1
120	120	1	3	t18	The world has little more than a decade to limit catastrophic climate change, which will involve millions of people displaced by sea level rise or subjected to deadly heatwaves, as well as the loss of almost all of the planet’s coral reefs.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0006709820952464	0.9987320845773456	0.000596933327408	1_3_t18	False	agree	2
121	121	1	3	t19	There is no solid evidence of global warming.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9988409045204488	0.0006359694415667	0.0005231260379844	1_3_t19	False	disagree	0
122	122	1	3	t2	People will need to see that no catastrophes eventuate on the day the carbon price comes in.	neutral	neutral	disagrees	neutral	agrees	neutral	neutral	neutral	0.0570444152013112	0.0146778353859086	0.92827774941278	1_3_t2	False	neutral	1
123	123	1	3	t20	A NASA climate scientist is reported as having faked global warming data.	disagrees	neutral	disagrees	disagrees	neutral	neutral	disagrees	neutral	0.7229034664114771	0.0038576997202705	0.2732388338682524	1_3_t20	False	disagree	0
124	124	1	3	t21	Global warming is occurring.	agrees	neutral	agrees	agrees	agrees	agrees	agrees	agrees	0.0014956650277854	0.9888181870794058	0.0096861478928087	1_3_t21	False	agree	2
125	125	1	3	t22	There is low confidence in attribution of drought on a global scale to human influence on climate.	disagrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	0.994894132319604	0.001127193202943	0.003978674477453	1_3_t22	False	disagree	0
126	126	1	3	t23	Global warming is a serious problem but raising the cost of polluting forms of energy is a highly inefficient solution.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	disagrees	0.0322537200873509	0.9660644055156142	0.0016818743970348	1_3_t23	False	agree	2
127	127	1	3	t24	The political will exists in Washington to pass legislation that could include some kind of a tax on carbon.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	agrees	0.0022633745215377	0.0335110657714585	0.9642255597070036	1_3_t24	False	neutral	1
128	128	1	3	t25	World sea levels are rising on average.	agrees	neutral	agrees	agrees	agrees	neutral	agrees	agrees	0.0025499953425432	0.9287403145836997	0.068709690073757	1_3_t25	False	agree	2
129	129	1	3	t26	Even modest changes in suicide rates due to climate change could [ lead to ] large changes in the associated global health burden, particularly in wealthier countries where current suicide rates are relatively high.	agrees	neutral	agrees	agrees	neutral	neutral	neutral	agrees	0.0039569533217584	0.6414077120542183	0.3546353346240232	1_3_t26	False	agree	2
130	130	1	3	t27	The scientists responsible for bigging up global warming are a bunch of useless, lying, cheating, conniving, scum-sucking bottom feeders who by rights should be in jail rather than anywhere near a lab.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9988395788122262	0.0006380518915492	0.0005223692962246	1_3_t27	False	disagree	0
132	132	1	3	t29	The world will soon do something about global warming.	agrees	neutral	agrees	agrees	agrees	agrees	neutral	agrees	0.0029869090501651	0.8925447145107269	0.104468376439108	1_3_t29	False	agree	2
133	133	1	3	t3	Far from staying flat since 1998, global temperatures have carried on rising.	agrees	neutral	agrees	neutral	agrees	neutral	agrees	agrees	0.0037792294846902	0.7273445469468232	0.2688762235684867	1_3_t3	False	agree	2
134	134	1	3	t4	The paper in no way diminishes the extensive body of observations that global warming is happening and that it is largely due to human activity.	agrees	neutral	agrees	agrees	agrees	agrees	agrees	agrees	0.0014923202169852	0.9888725751958438	0.0096351045871709	1_3_t4	False	agree	2
135	135	1	3	t5	Liberated carbon makes our society possible.	neutral	neutral	neutral	neutral	agrees	neutral	neutral	neutral	0.0015400451877833	0.0078232781530362	0.9906366766591804	1_3_t5	False	neutral	1
136	136	1	3	t6	All fossil fuel use needs to be regulated to reduce global warming.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0006824368637608	0.9986944267040906	0.0006231364321486	1_3_t6	False	agree	2
138	138	1	3	t8	One round-trip flight from New York to Europe or to San Francisco creates a warming effect equivalent to 2 or 3 tons of carbon dioxide per person.	agrees	neutral	agrees	agrees	agrees	neutral	agrees	neutral	0.0035757250453559	0.7863619049913587	0.2100623699632854	1_3_t8	False	agree	2
139	139	1	3	t9	Carbon dioxide is not a “primary contributor” to global warming.	neutral	neutral	disagrees	disagrees	neutral	disagrees	neutral	disagrees	0.6627807776561403	0.0039777695061721	0.3332414528376876	1_3_t9	False	disagree	0
145	145	1	4	t0	One of those pesky realist scientists whose research using awkward facts shows that global warming isn’t nearly the peril it’s cracked up to be and which may ultimately be one of the reasons why Flannery no longer has that $ 180,000 a year (for a three-day week) job.	disagrees	neutral	disagrees	neutral	disagrees	disagrees	disagrees	disagrees	0.9520675823143684	0.0025876335430255	0.045344784142606	1_4_t0	False	disagree	0
146	146	1	4	t1	We can not live on fossil fuel forever.	agrees	neutral	neutral	neutral	agrees	neutral	neutral	neutral	0.0029182826460358	0.0991255717735048	0.8979561455804594	1_4_t1	False	neutral	1
147	147	1	4	t10	Global warming is what is causing the climate to change .	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.00100258770829	0.9975472469651836	0.0014501653265263	1_4_t10	False	agree	2
148	148	1	4	t11	Anyone objectively looking at the data, even at the graph produced above, can see that climate models are much, much, much better at predicting global warming over the past decade.	neutral	agrees	agrees	neutral	agrees	neutral	agrees	agrees	0.0035972465385705	0.7892303929192553	0.207172360542174	1_4_t11	False	agree	2
149	149	1	4	t12	Rich countries like the United States the United States the United States bear moral responsibility for global warming and should not deny poor countries the chance to build their economies.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	neutral	0.005057702575661	0.8103898183824356	0.1845524790419032	1_4_t12	False	agree	2
150	150	1	4	t13	Europe is suffering from political rejection of fossil fuels.	disagrees	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0331910714811093	0.0023421074290117	0.9644668210898788	1_4_t13	False	neutral	1
151	151	1	4	t14	Texas can accept that sea level is rising.	neutral	neutral	neutral	agrees	agrees	neutral	neutral	neutral	0.0017672472648665	0.020134140286084	0.9780986124490496	1_4_t14	False	neutral	1
152	152	1	4	t15	The average American generates about 19 tons of carbon dioxide a year.	neutral	neutral	neutral	disagrees	neutral	neutral	neutral	neutral	0.0012174875215695	0.0010016167595692	0.9977808957188612	1_4_t15	False	neutral	1
154	154	1	4	t17	Global warming is likely to prove dangerous.	agrees	agrees	agrees	disagrees	agrees	agrees	agrees	agrees	0.0015867571578155	0.9967994943662948	0.0016137484758896	1_4_t17	False	agree	2
155	155	1	4	t18	A diet heavy on vegetables is the best diet for the planet in this age of global warming.	agrees	agrees	agrees	agrees	neutral	agrees	agrees	neutral	0.0034105661028346	0.8616137727637637	0.1349756611334017	1_4_t18	False	agree	2
156	156	1	4	t19	Carbon dioxide is responsible for the warming.	neutral	agrees	neutral	neutral	agrees	agrees	agrees	neutral	0.0039971863345042	0.5687784287475932	0.4272243849179025	1_4_t19	False	agree	2
158	158	1	4	t20	Natural variability is large for sea ice.	neutral	neutral	neutral	agrees	neutral	neutral	neutral	neutral	0.0008580670193648	0.0013914081619726	0.9977505248186626	1_4_t20	False	neutral	1
159	159	1	4	t21	Global warming is due in large part to human activity.	agrees	neutral	agrees	neutral	agrees	agrees	agrees	agrees	0.0025781907429595	0.9461371896511068	0.0512846196059336	1_4_t21	False	agree	2
160	160	1	4	t22	Sea level rise is accelerating.	neutral	neutral	agrees	disagrees	agrees	neutral	neutral	neutral	0.0046619817161312	0.139714521793095	0.8556234964907738	1_4_t22	False	neutral	1
161	161	1	4	t23	These regions are pumping carbon dioxide to the atmosphere.	neutral	agrees	neutral	neutral	agrees	neutral	neutral	neutral	0.0029697502420333	0.1069359258186681	0.8900943239392985	1_4_t23	False	neutral	1
162	162	1	4	t24	The United States government has violated their constitutional rights by allowing fossil fuel production to continue — despite knowing its effects on the planet.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0009959463744297	0.9975120543305924	0.0014919992949778	1_4_t24	False	agree	2
163	163	1	4	t25	A mammoth effort is needed, beginning now and carrying through the century, to decarbonize global energy systems.	agrees	agrees	agrees	disagrees	agrees	agrees	agrees	agrees	0.0016335434194677	0.9967337674243562	0.0016326891561761	1_4_t25	False	agree	2
164	164	1	4	t26	Co2 is a demon molecule that causes global warming.	agrees	agrees	agrees	disagrees	agrees	agrees	agrees	agrees	0.0016519911833915	0.9966793495092706	0.0016686593073377	1_4_t26	False	agree	2
165	165	1	4	t27	There appears to be hope for travel and tourism to continue to grow in the wake of global warming.	neutral	neutral	neutral	disagrees	agrees	disagrees	neutral	neutral	0.0766932190828615	0.0300761263135271	0.8932306546036113	1_4_t27	False	neutral	1
